,Unnamed: 0,Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
0,0,Aaron Gordon,ORL,24,6-8,235,Arizona,USA,2014,1,4,62,14.4,7.7,3.7,-1.2,5.0%,18.1%,20.5%,51.6%,16.5%
1,1,Aaron Holiday,IND,23,6-0,185,UCLA,USA,2018,1,23,66,9.5,2.4,3.4,2.2,1.3%,7.7%,18.2%,52.1%,18.8%
2,2,Abdel Nader,OKC,26,6-5,225,Iowa State,Egypt,2016,2,58,55,6.3,1.8,0.7,-4.2,1.6%,9.5%,16.4%,59.1%,6.8%
3,3,Adam Mokoka,CHI,21,6-5,190,None,France,Undrafted,Undrafted,Undrafted,11,2.9,0.9,0.4,17.1,5.7%,2.9%,11.0%,53.8%,4.3%
4,4,Admiral Schofield,WAS,23,6-5,241,Tennessee,United Kingdo...,2019,2,42,33,3.0,1.4,0.5,-7.1,1.7%,10.6%,11.8%,50.2%,5.7%
5,5,Al Horford,PHI,34,6-9,240,Florida,Dominican Rep...,2007,1,3,67,11.9,6.8,4.0,3.3,5.1%,17.1%,17.3%,53.6%,18.7%
6,6,Al-Farouq Aminu,ORL,29,6-8,220,Wake Forest,USA,2010,1,8,18,4.3,4.8,1.2,-5.4,5.3%,15.8%,12.7%,39.5%,8.8%
7,7,Alec Burks,PHI,28,6-6,214,Colorado,USA,2011,1,12,66,15.0,4.3,2.9,-6.3,2.5%,13.1%,23.0%,56.1%,17.9%
8,8,Alen Smailagic,GSW,19,6-10,215,None,Serbia,2019,2,39,14,4.2,1.9,0.9,-3.0,7.7%,11.0%,17.5%,61.0%,13.3%
9,9,Alex Caruso,LAL,26,6-5,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted,64,5.5,1.9,1.9,9.8,1.4%,8.5%,13.6%,52.5%,13.8%
10,10,Alex Len,SAC,27,7-0,250,Maryland,Ukraine,2013,1,5,55,8.0,5.8,0.9,-5.4,9.4%,20.2%,17.6%,60.0%,8.3%
11,11,Alfonzo McKinnie,CLE,27,6-7,215,Wisc.-Green Bay,USA,Undrafted,Undrafted,Undrafted,40,4.6,2.8,0.4,-7.4,6.1%,13.1%,14.7%,49.3%,3.2%
12,12,Alize Johnson,IND,24,6-7,212,Missouri State,USA,2018,2,50,17,2.0,2.8,0.4,8.9,12.2%,24.1%,13.3%,50.9%,7.5%
13,13,Allen Crabbe,MIN,28,6-5,212,California,USA,2013,2,31,37,4.6,2.1,0.9,-15.0,1.4%,9.8%,12.2%,47.0%,7.3%
14,14,Allonzo Trier,NYK,24,6-4,200,Arizona,USA,2018,,,24,6.5,1.2,1.2,-11.1,1.8%,7.8%,20.8%,62.0%,16.4%
15,15,Amile Jefferson,ORL,27,6-9,222,Duke,USA,2017,,,18,0.8,1.3,0.2,8.5,11.2%,16.3%,12.9%,37.2%,7.8%
16,16,Amir Coffey,LAC,23,6-7,210,Minnesota,USA,Undrafted,Undrafted,Undrafted,18,3.2,0.9,0.8,-0.5,2.5%,6.6%,17.4%,49.3%,13.9%
17,17,Andre Drummond,CLE,26,6-10,279,Connecticut,USA,2012,1,9,57,17.7,15.2,2.7,-5.0,12.9%,33.6%,25.3%,55.3%,13.3%
18,18,Andre Iguodala,MIA,36,6-6,215,Arizona,USA,2004,1,9,21,4.6,3.7,2.4,-1.9,4.0%,13.2%,12.1%,50.7%,18.1%
19,19,Andre Roberson,OKC,28,6-7,210,Colorado,USA,2013,1,26,7,2.9,3.9,0.6,-1.1,6.5%,20.4%,14.5%,33.5%,7.4%
20,20,Andrew Wiggins,GSW,25,6-7,197,Kansas,Canada,2014,1,1,54,21.8,5.1,3.7,-5.1,3.3%,11.0%,26.9%,53.6%,18.0%
21,21,Anfernee Simons,POR,21,6-3,181,None,USA,2018,1,24,70,8.3,2.2,1.4,-7.6,1.5%,8.0%,18.0%,50.2%,9.8%
22,22,Ante Zizic,CLE,23,6-10,266,None,Croatia,2016,1,23,22,4.4,3.0,0.3,1.3,8.4%,21.1%,16.8%,59.7%,3.8%
23,23,Anthony Davis,LAL,27,6-10,253,Kentucky,USA,2012,1,1,62,26.1,9.3,3.2,5.0,6.5%,19.7%,28.4%,61.0%,15.3%
24,24,Anthony Tolliver,MEM,35,6-8,240,Creighton,USA,Undrafted,Undrafted,Undrafted,55,3.6,2.8,0.8,-6.0,3.5%,13.0%,10.8%,51.3%,6.4%
25,25,Antonius Cleveland,DAL,26,6-5,195,S.E. Missouri,USA,Undrafted,Undrafted,Undrafted,11,1.0,0.6,0.1,-7.8,3.7%,12.2%,15.9%,34.0%,3.4%
26,26,Anzejs Pasecniks,WAS,24,7-2,229,None,Latvia,2017,1,25,27,5.8,4.0,0.7,0.2,8.6%,15.3%,15.1%,55.1%,5.8%
27,27,Aron Baynes,PHX,33,6-10,260,Washington State,Australia,Undrafted,Undrafted,Undrafted,42,11.5,5.6,1.6,-1.5,7.5%,17.8%,20.5%,58.1%,10.8%
28,28,Austin Rivers,HOU,27,6-3,200,Duke,USA,2012,1,10,68,8.8,2.6,1.7,2.6,1.6%,8.9%,15.3%,54.2%,9.8%
29,29,Avery Bradley,LAL,29,6-3,180,Texas-Austin,USA,2010,1,19,49,8.6,2.3,1.3,7.4,1.5%,7.7%,15.3%,53.7%,7.0%
30,30,BJ Johnson,ORL,24,6-7,200,La Salle,USA,Undrafted,Undrafted,Undrafted,10,3.0,1.5,0.3,-8.1,3.3%,13.6%,20.1%,41.2%,5.9%
31,31,Bam Adebayo,MIA,22,6-9,255,Kentucky,USA,2017,1,14,72,15.9,10.2,5.1,5.0,7.7%,22.4%,21.2%,59.8%,23.8%
32,32,Ben McLemore,HOU,27,6-3,195,Kansas,USA,2013,1,7,71,10.1,2.2,0.8,5.0,1.2%,7.9%,15.7%,62.2%,5.0%
33,33,Ben Simmons,PHI,23,6-10,240,Louisiana State,Australia,2016,1,1,57,16.4,7.8,8.0,1.7,5.4%,15.9%,20.6%,60.2%,33.5%
34,34,Bismack Biyombo,CHA,27,6-8,255,None,Democratic Re...,2011,1,7,53,7.4,5.8,0.9,-6.6,11.2%,17.8%,16.8%,57.0%,7.9%
35,35,Blake Griffin,DET,31,6-9,250,Oklahoma,USA,2009,1,1,18,15.5,4.7,3.3,-2.6,3.2%,12.8%,27.7%,47.6%,18.4%
36,36,Boban Marjanovic,DAL,31,7-4,290,None,Serbia,Undrafted,Undrafted,Undrafted,44,6.6,4.5,0.5,5.5,15.8%,29.8%,25.8%,61.2%,7.3%
37,37,Bobby Portis,NYK,25,6-10,250,Arkansas,USA,2015,1,22,66,10.1,5.1,1.5,-7.9,5.3%,18.0%,20.7%,53.0%,11.2%
38,38,Bogdan Bogdanovic,SAC,27,6-6,220,None,Serbia,2014,1,27,61,15.1,3.4,3.4,-1.7,1.4%,10.5%,22.1%,56.5%,18.4%
39,39,Bojan Bogdanovic,UTA,31,6-8,226,None,Croatia,2011,2,31,63,20.2,4.1,2.1,5.5,2.0%,10.0%,25.2%,60.3%,9.9%
40,40,Bol Bol,DEN,20,7-2,220,Oregon,Sudan,2019,2,44,7,5.7,2.7,0.9,-9.8,5.7%,17.1%,20.6%,61.7%,10.3%
41,41,Brad Wanamaker,BOS,30,6-3,210,Pittsburgh,USA,Undrafted,Undrafted,Undrafted,71,6.9,2.0,2.5,5.0,1.6%,8.2%,15.2%,57.7%,18.1%
42,42,Bradley Beal,WAS,27,6-3,207,Florida,USA,2012,1,3,57,30.5,4.2,6.1,-4.5,2.4%,9.5%,33.8%,57.9%,28.5%
43,43,Brandon Clarke,MEM,23,6-8,215,Gonzaga,Canada,2019,1,21,58,12.1,5.9,1.4,-0.1,6.7%,17.7%,18.0%,66.3%,9.2%
44,44,Brandon Goodwin,ATL,24,6-0,180,Florida Gulf Coast,USA,Undrafted,Undrafted,Undrafted,34,6.1,2.1,1.5,-13.8,2.3%,13.2%,22.0%,50.7%,20.8%
45,45,Brandon Ingram,NOP,22,6-7,190,Duke,USA,2016,1,2,62,23.8,6.1,4.2,-1.3,2.3%,14.4%,27.5%,58.7%,19.2%
46,46,Brandon Knight,DET,28,6-2,182,Kentucky,USA,2011,1,8,25,7.3,1.6,2.8,-7.6,0.9%,9.3%,20.7%,50.3%,21.6%
47,47,Brian Bowen II,IND,21,6-6,190,None,USA,Undrafted,Undrafted,Undrafted,6,1.0,1.2,0.0,15.7,3.2%,16.2%,14.3%,30.0%,0.0%
48,48,Brook Lopez,MIL,32,7-0,282,Stanford,USA,2008,1,10,68,12.0,4.6,1.5,12.0,3.1%,11.8%,18.1%,55.1%,7.3%
49,49,Bruce Brown,DET,23,6-4,202,Miami,USA,2018,2,42,58,8.9,4.7,4.0,-4.3,3.8%,13.1%,15.9%,51.8%,20.8%
0,0,Bruno Caboclo,HOU,24,6-9,218,None,Brazil,2014,1,20,30,3.0,2.0,0.4,-5.1,8.1%,14.5%,17.0%,48.4%,7.6%
1,1,Bruno Fernando,ATL,21,6-9,240,Maryland,Angola,2019,2,34,56,4.3,3.5,0.9,-5.6,8.5%,17.9%,14.7%,54.2%,10.1%
2,2,Bryn Forbes,SAS,26,6-2,205,Michigan State,USA,Undrafted,Undrafted,Undrafted,63,11.2,2.0,1.7,-6.8,0.7%,7.1%,18.5%,57.0%,9.7%
