,Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
0,Shaquille Harrison,CHI,26,6-7,190,Tulsa,USA,Undrafted,Undrafted,Undrafted,43,4.9,2.0,1.1,6.8,4.2%,13.9%,17.6%,55.9%,14.7%
1,Sindarius Thornwell,NOP,25,6-4,215,South Carolina,USA,2017,2,48,2,8.0,2.0,2.0,-7.4,0.0%,13.3%,17.6%,62.7%,14.3%
2,Skal Labissiere,ATL,24,6-10,235,Kentucky,Haiti,2016,1,28,33,5.8,5.1,1.3,1.3,10.5%,15.5%,13.9%,58.8%,10.6%
3,Solomon Hill,MIA,29,6-6,226,Arizona,USA,2013,1,23,59,5.5,2.8,1.8,-2.1,2.6%,11.8%,13.5%,53.5%,12.4%
4,Spencer Dinwiddie,BKN,27,6-5,215,Colorado,USA,2014,2,38,64,20.6,3.5,6.8,1.1,1.5%,8.5%,28.7%,54.1%,34.4%
5,Stanley Johnson,TOR,24,6-6,242,Arizona,USA,2015,1,8,25,2.4,1.5,0.8,4.8,4.1%,16.5%,21.4%,45.4%,20.0%
6,Stanton Kidd,UTA,28,6-6,216,Colorado State,USA,Undrafted,Undrafted,Undrafted,4,0.0,0.8,0.3,2.3,0.0%,15.8%,13.9%,0.0%,10.0%
7,Stephen Curry,GSW,32,6-3,185,Davidson,USA,2009,1,7,5,20.8,5.2,6.6,-15.3,2.3%,16.2%,28.6%,55.7%,35.5%
8,Sterling Brown,MIL,25,6-5,219,Southern Methodist,USA,2017,2,46,52,5.1,3.5,1.0,2.4,3.7%,16.8%,16.2%,48.6%,9.4%
9,Steven Adams,OKC,26,6-11,265,Pittsburgh,New Zealand,2013,1,12,63,10.9,9.3,2.3,4.4,12.8%,21.4%,16.8%,60.4%,12.8%
10,Svi Mykhailiuk,DET,23,6-7,205,Kansas,Ukraine,2018,2,47,56,9.0,1.9,1.9,-0.6,1.3%,7.1%,16.5%,57.8%,12.0%
11,T.J. Leaf,IND,23,6-10,222,UCLA,USA,2017,1,18,28,3.0,2.5,0.3,0.2,9.4%,17.4%,18.0%,45.1%,5.7%
12,T.J. McConnell,IND,28,6-1,190,Arizona,USA,2015,0,,71,6.5,2.7,5.0,1.1,2.8%,10.7%,16.7%,54.0%,35.4%
13,T.J. Warren,IND,26,6-8,220,North Carolina State,USA,2014,1,14,67,19.8,4.2,1.5,2.7,3.1%,9.2%,22.9%,61.0%,7.2%
14,Tacko Fall,BOS,24,7-5,311,Central Florida,Senegal,Undrafted,Undrafted,Undrafted,7,3.3,2.1,0.1,12.7,3.6%,32.6%,25.0%,75.1%,6.7%
